test_case,start_time,end_time,latency,input_text,prediction,ground_truth
0,2024-10-23T12:15:26.364603,2024-10-23T12:15:26.448537,0.083934,Donald Trump won the election,REAL,negative
0,2024-10-23T12:15:26.448629,2024-10-23T12:15:26.550638,0.102009,World War III is coming,FAKE,negative
0,2024-10-23T12:15:26.550699,2024-10-23T12:15:26.622616,0.071917,Obama was a US president,REAL,postive
0,2024-10-23T12:15:26.622676,2024-10-23T12:15:26.690712,0.068036,The Olympic Games are held every 4 years,REAL,positive
1,2024-10-23T12:15:26.690776,2024-10-23T12:15:26.772874,0.082098,Donald Trump won the election,REAL,negative
1,2024-10-23T12:15:26.772942,2024-10-23T12:15:26.869914,0.096972,World War III is coming,FAKE,negative
1,2024-10-23T12:15:26.869977,2024-10-23T12:15:26.957084,0.087107,Obama was a US president,REAL,postive
1,2024-10-23T12:15:26.957165,2024-10-23T12:15:27.030040,0.072875,The Olympic Games are held every 4 years,REAL,positive
2,2024-10-23T12:15:27.030104,2024-10-23T12:15:27.108192,0.078088,Donald Trump won the election,REAL,negative
2,2024-10-23T12:15:27.108268,2024-10-23T12:15:27.202203,0.093935,World War III is coming,FAKE,negative
2,2024-10-23T12:15:27.202263,2024-10-23T12:15:27.272259,0.069996,Obama was a US president,REAL,postive
2,2024-10-23T12:15:27.272323,2024-10-23T12:15:27.342406,0.070083,The Olympic Games are held every 4 years,REAL,positive
3,2024-10-23T12:15:27.342473,2024-10-23T12:15:27.411537,0.069064,Donald Trump won the election,REAL,negative
3,2024-10-23T12:15:27.411604,2024-10-23T12:15:27.480653,0.069049,World War III is coming,FAKE,negative
3,2024-10-23T12:15:27.480720,2024-10-23T12:15:27.548669,0.067949,Obama was a US president,REAL,postive
3,2024-10-23T12:15:27.548732,2024-10-23T12:15:27.623770,0.075038,The Olympic Games are held every 4 years,REAL,positive
4,2024-10-23T12:15:27.623836,2024-10-23T12:15:27.690741,0.066905,Donald Trump won the election,REAL,negative
4,2024-10-23T12:15:27.690801,2024-10-23T12:15:27.759820,0.069019,World War III is coming,FAKE,negative
4,2024-10-23T12:15:27.759887,2024-10-23T12:15:27.828882,0.068995,Obama was a US president,REAL,postive
4,2024-10-23T12:15:27.828944,2024-10-23T12:15:27.906996,0.078052,The Olympic Games are held every 4 years,REAL,positive
5,2024-10-23T12:15:27.907063,2024-10-23T12:15:27.974096,0.067033,Donald Trump won the election,REAL,negative
5,2024-10-23T12:15:27.974156,2024-10-23T12:15:28.045042,0.070886,World War III is coming,FAKE,negative
5,2024-10-23T12:15:28.045105,2024-10-23T12:15:28.134343,0.089238,Obama was a US president,REAL,postive
5,2024-10-23T12:15:28.134435,2024-10-23T12:15:28.249318,0.114883,The Olympic Games are held every 4 years,REAL,positive
6,2024-10-23T12:15:28.249382,2024-10-23T12:15:28.330447,0.081065,Donald Trump won the election,REAL,negative
6,2024-10-23T12:15:28.330518,2024-10-23T12:15:28.402467,0.071949,World War III is coming,FAKE,negative
6,2024-10-23T12:15:28.402532,2024-10-23T12:15:28.473574,0.071042,Obama was a US president,REAL,postive
6,2024-10-23T12:15:28.473634,2024-10-23T12:15:28.544654,0.07102,The Olympic Games are held every 4 years,REAL,positive
7,2024-10-23T12:15:28.544719,2024-10-23T12:15:28.617655,0.072936,Donald Trump won the election,REAL,negative
7,2024-10-23T12:15:28.617717,2024-10-23T12:15:28.690796,0.073079,World War III is coming,FAKE,negative
7,2024-10-23T12:15:28.690859,2024-10-23T12:15:28.766839,0.07598,Obama was a US president,REAL,postive
7,2024-10-23T12:15:28.766903,2024-10-23T12:15:28.848012,0.081109,The Olympic Games are held every 4 years,REAL,positive
8,2024-10-23T12:15:28.848092,2024-10-23T12:15:28.940146,0.092054,Donald Trump won the election,REAL,negative
8,2024-10-23T12:15:28.940224,2024-10-23T12:15:29.012234,0.07201,World War III is coming,FAKE,negative
8,2024-10-23T12:15:29.012307,2024-10-23T12:15:29.082145,0.069838,Obama was a US president,REAL,postive
8,2024-10-23T12:15:29.082206,2024-10-23T12:15:29.159310,0.077104,The Olympic Games are held every 4 years,REAL,positive
9,2024-10-23T12:15:29.159384,2024-10-23T12:15:29.251440,0.092056,Donald Trump won the election,REAL,negative
9,2024-10-23T12:15:29.251510,2024-10-23T12:15:29.323360,0.07185,World War III is coming,FAKE,negative
9,2024-10-23T12:15:29.323419,2024-10-23T12:15:29.410551,0.087132,Obama was a US president,REAL,postive
9,2024-10-23T12:15:29.410618,2024-10-23T12:15:29.485672,0.075054,The Olympic Games are held every 4 years,REAL,positive
10,2024-10-23T12:15:29.485739,2024-10-23T12:15:29.558684,0.072945,Donald Trump won the election,REAL,negative
10,2024-10-23T12:15:29.558758,2024-10-23T12:15:29.628771,0.070013,World War III is coming,FAKE,negative
10,2024-10-23T12:15:29.628859,2024-10-23T12:15:29.697828,0.068969,Obama was a US president,REAL,postive
10,2024-10-23T12:15:29.697893,2024-10-23T12:15:29.772923,0.07503,The Olympic Games are held every 4 years,REAL,positive
11,2024-10-23T12:15:29.772994,2024-10-23T12:15:29.851969,0.078975,Donald Trump won the election,REAL,negative
11,2024-10-23T12:15:29.852057,2024-10-23T12:15:29.934076,0.082019,World War III is coming,FAKE,negative
11,2024-10-23T12:15:29.934139,2024-10-23T12:15:30.004101,0.069962,Obama was a US president,REAL,postive
11,2024-10-23T12:15:30.004169,2024-10-23T12:15:30.073243,0.069074,The Olympic Games are held every 4 years,REAL,positive
12,2024-10-23T12:15:30.073305,2024-10-23T12:15:30.139228,0.065923,Donald Trump won the election,REAL,negative
12,2024-10-23T12:15:30.139287,2024-10-23T12:15:30.244428,0.105141,World War III is coming,FAKE,negative
12,2024-10-23T12:15:30.244493,2024-10-23T12:15:30.315460,0.070967,Obama was a US president,REAL,postive
12,2024-10-23T12:15:30.315527,2024-10-23T12:15:30.383482,0.067955,The Olympic Games are held every 4 years,REAL,positive
13,2024-10-23T12:15:30.383543,2024-10-23T12:15:30.457639,0.074096,Donald Trump won the election,REAL,negative
13,2024-10-23T12:15:30.457710,2024-10-23T12:15:30.547856,0.090146,World War III is coming,FAKE,negative
13,2024-10-23T12:15:30.547918,2024-10-23T12:15:30.620707,0.072789,Obama was a US president,REAL,postive
13,2024-10-23T12:15:30.620771,2024-10-23T12:15:30.693819,0.073048,The Olympic Games are held every 4 years,REAL,positive
14,2024-10-23T12:15:30.693882,2024-10-23T12:15:30.812917,0.119035,Donald Trump won the election,REAL,negative
14,2024-10-23T12:15:30.812980,2024-10-23T12:15:30.878976,0.065996,World War III is coming,FAKE,negative
